"","okved","total_index","foiv","impact"
"49","Государственное управление",84.9056603773585,"Минстрой","Высокая"
"50","Транспорт",74.0740740740741,"Все остальные","Низкая"
"51","Государственное управление",74.0740740740741,"Все остальные","Низкая"
"52","Государственное управление",44.4444444444444,"ФТС","Средняя"
"53","Государственное управление",66.6666666666667,"ФТС","Низкая"
"54","Налоговое администрирование",84.9056603773585,"ФНС","Высокая"
"55","Добыча топливно-энергетических полезных ископаемых",95.5555555555556,"Ростехнадзор","Средняя"
"56","Здравоохранение",48.8888888888889,"Минздрав","Средняя"
"57","Внешнеэкономическая деятельность",22.6415094339623,"ФТС","Высокая"
"58","Производство и распределение электроэнергии, газа и воды",93.3333333333333,"Минэнерго","Средняя"
"59","Государственное управление",96.2962962962963,"ФТС","Низкая"
"60","Транспорт",59.2592592592593,"Роспотребнадзор","Низкая"
"61","Транспорт",44.4444444444444,"Минтранс","Низкая"
"62","Транспорт",48.1481481481481,"Минтранс","Низкая"
"63","Прочие производства",77.7777777777778,"Минприроды","Средняя"
"64","Прочие производства",86.6666666666667,"Минтруд","Средняя"
"65","Строительство",86.6666666666667,"Минтруд","Средняя"
"66","Финансовая деятельность",71.1111111111111,"Минфин","Средняя"
"67","Транспорт",51.8518518518519,"Минтранс","Низкая"
"68","Государственное управление",73.5849056603774,"ФАС","Высокая"
"69","Финансовая деятельность",60,"Минфин","Средняя"
"70","Транспорт",81.4814814814815,"Минтранс","Низкая"
"71","Финансовая деятельность",75.5555555555556,"Минфин","Средняя"
"72","Финансовая деятельность",30.188679245283,"Минфин","Высокая"
"73","Государственное управление",96.2962962962963,"Роспотребнадзор","Низкая"
"74","Государственное управление",67.9245283018868,"Минприроды","Высокая"
"75","Финансовая деятельность",30.188679245283,"Минфин","Высокая"
"76","Транспорт",93.3333333333333,"Минтранс","Средняя"
"77","Рыболовство, рыбоводство",98.1132075471698,"Минсельхоз","Высокая"
"78","Государственное управление",86.7924528301887,"ФАС","Высокая"
"79","Строительство",85.1851851851852,"Минстрой","Низкая"
"80","Государственное управление",55.5555555555556,"Минэнерго","Низкая"
"81","Государственное управление",86.6666666666667,"ФТС","Средняя"
"82","Транспорт",42.2222222222222,"Минтранс","Средняя"
"83","Финансовая деятельность",28.3018867924528,"Минфин","Высокая"
"84","Транспорт",80,"Минтранс","Средняя"
"85","Финансовая деятельность",73.3333333333333,"ФНС","Средняя"
"86","Государственное управление",73.3333333333333,"ФНС","Средняя"
"87","Финансовая деятельность",30.188679245283,"Минфин","Высокая"
"88","Транспорт",91.1111111111111,"Минтранс","Средняя"
"89","Финансовая деятельность",66.6666666666667,"Минфин","Средняя"
"90","Добыча топливно-энергетических полезных ископаемых",80,"Минприроды","Средняя"
"91","Добыча полезных ископаемых, кроме топливно-энергетических",80,"Минприроды","Средняя"
"92","Государственное управление",100,"Минэкономразвития","Низкая"
"93","Финансовая деятельность",84.4444444444444,"Минфин","Средняя"
"94","Рыболовство, рыбоводство",96.2962962962963,"Минсельхоз","Низкая"
"95","Добыча топливно-энергетических полезных ископаемых",100,"Минэнерго","Средняя"
"96","Сельское хозяйство",86.6666666666667,"Минтруд","Средняя"
"97","Добыча топливно-энергетических полезных ископаемых",86.6666666666667,"Минтруд","Средняя"
"98","Добыча полезных ископаемых, кроме топливно-энергетических",86.6666666666667,"Минтруд","Средняя"
"99","Производство пищевых продуктов, включая напитки, и табака",86.6666666666667,"Минтруд","Средняя"
"100","Текстильное и швейное производство",86.6666666666667,"Минтруд","Средняя"
"101","Производство кожи, изделий из кожи",86.6666666666667,"Минтруд","Средняя"
"102","Обработка древесины и производство изделий из дерева",86.6666666666667,"Минтруд","Средняя"
"103","Целлюлозно-бумажное производство",86.6666666666667,"Минтруд","Средняя"
"104","Производство кокса",86.6666666666667,"Минтруд","Средняя"
"105","Химическое производство",86.6666666666667,"Минтруд","Средняя"
"106","Производство резиновых изделий",86.6666666666667,"Минтруд","Средняя"
"107","Производство прочих неметаллических минеральных продуктов",86.6666666666667,"Минтруд","Средняя"
"108","Металлургическое производство",86.6666666666667,"Минтруд","Средняя"
"109","Производство машин и оборудования",86.6666666666667,"Минтруд","Средняя"
"110","Производство электрооборудования",86.6666666666667,"Минтруд","Средняя"
"111","Производство транспортных средств",86.6666666666667,"Минтруд","Средняя"
"112","Прочие производства",86.6666666666667,"Минтруд","Средняя"
"113","Производство и распределение электроэнергии, газа и воды",86.6666666666667,"Минтруд","Средняя"
"114","Строительство",86.6666666666667,"Минтруд","Средняя"
"115","Государственное управление",86.6666666666667,"Минтруд","Средняя"
"116","Предоставление прочих коммунальных, социальных и персональных услуг",86.6666666666667,"Минтруд","Средняя"
"117","Связь",86.6666666666667,"Минтруд","Средняя"
"118","Производство обуви",86.6666666666667,"Минтруд","Средняя"
"119","Издательская и полиграфическая деятельность",86.6666666666667,"Минтруд","Средняя"
"120","Производство готовых металлических изделий",86.6666666666667,"Минтруд","Средняя"
"121","Производство электронного оборудования",86.6666666666667,"Минтруд","Средняя"
"122","Производство оптического оборудования",86.6666666666667,"Минтруд","Средняя"
"123","Производство оборудования",86.6666666666667,"Минтруд","Средняя"
"124","Ремонт автотранспортных средств, мотоциклов",86.6666666666667,"Минтруд","Средняя"
"125","Производство бытовых изделий и предметов личного пользования",86.6666666666667,"Минтруд","Средняя"
"126","Предоставление социальных услуг",86.6666666666667,"Минтруд","Средняя"
"127","Государственное управление",28.3018867924528,"Минэкономразвития","Высокая"
"128","Экология",85.1851851851852,"Все остальные","Низкая"
"129","Транспорт",24.4444444444444,"Минтранс","Средняя"
"130","Химическое производство",86.6666666666667,"Минтруд","Средняя"
"131","Государственное управление",86.6666666666667,"Минтруд","Средняя"
"132","Прочие производства",55.5555555555556,"Минкультуры","Средняя"
"133","Государственное управление",77.7777777777778,"Минспорт","Низкая"
"134","Государственное управление",85.1851851851852,"МЧС","Низкая"
"135","Государственное управление",77.7777777777778,"ФАС","Средняя"
"136","Государственное управление",77.7777777777778,"Все остальные","Средняя"
"137","Обеспечение военной безопасности",77.7777777777778,"Все остальные","Средняя"
"138","Социальное страхование",77.7777777777778,"Все остальные","Средняя"
"139","Сельское хозяйство",62.962962962963,"Минсельхоз","Низкая"
"140","Производство и распределение электроэнергии, газа и воды",24.4444444444444,"Минэнерго","Средняя"
"141","Связь",81.4814814814815,"Минцифры","Низкая"
"142","Государственное управление",37.7358490566038,"Минтруд","Высокая"
"143","Финансовая деятельность",77.3584905660377,"Минфин","Высокая"
"144","Лесное хозяйство",73.5849056603774,"Минприроды","Высокая"
"145","Производство и распределение электроэнергии, газа и воды",66.0377358490566,"Минэнерго","Высокая"
"146","Государственное управление",85.1851851851852,"ФНС","Низкая"
"147","Здравоохранение",77.3584905660377,"Минздрав","Высокая"
"148","Строительство",77.7777777777778,"Минстрой","Средняя"
"149","Государственное управление",77.7777777777778,"Минстрой","Средняя"
"150","Финансовая деятельность",71.6981132075472,"Минфин","Высокая"
"151","Транспорт",46.6666666666667,"Минтранс","Средняя"
"152","Сельское хозяйство",77.3584905660377,"Минсельхоз","Высокая"
"153","Транспорт",84.4444444444444,"Минтранс","Средняя"
"154","Транспорт",79.2452830188679,"Минтранс","Высокая"
"155","Государственное управление",80,"Минкультуры","Средняя"
"156","Финансовая деятельность",42.2222222222222,"Минэкономразвития","Средняя"
"157","Правоохранительная деятельность",25.9259259259259,"МВД","Низкая"
"158","Производство и распределение электроэнергии, газа и воды",2.22222222222222,"Минэнерго","Средняя"
"159","Добыча топливно-энергетических полезных ископаемых",95.5555555555556,"Минприроды","Средняя"
"160","Транспорт",77.7777777777778,"Минтранс","Средняя"
"161","Государственное управление",40,"Минэкономразвития","Средняя"
"162","Государственное управление",86.7924528301887,"МЧС","Высокая"
"163","Транспорт",80,"Минтранс","Средняя"
"164","Государственное управление",77.3584905660377,"МЧС","Высокая"
"165","Лесное хозяйство",77.3584905660377,"МЧС","Высокая"
"166","Финансовая деятельность",85.1851851851852,"Минфин","Низкая"
"167","Государственное управление",84.4444444444444,"МЧС","Средняя"
"168","Оптовая и розничная торговля",92.5925925925926,"ФТС","Низкая"
"169","Государственное управление",83.0188679245283,"Минстрой","Высокая"
"170","Предоставление прочих коммунальных, социальных и персональных услуг",83.0188679245283,"Минстрой","Высокая"
"171","Транспорт",54.7169811320755,"Минтранс","Высокая"
"172","Оптовая и розничная торговля",86.6666666666667,"Минпромторг","Средняя"
"173","Производство и распределение электроэнергии, газа и воды",40,"Минэнерго","Средняя"
"174","Сельское хозяйство",93.3333333333333,"Минсельхоз","Средняя"
"175","Охота",93.3333333333333,"Минсельхоз","Средняя"
"176","Лесное хозяйство",93.3333333333333,"Минсельхоз","Средняя"
"177","Государственное управление",83.0188679245283,"ФАС","Высокая"
"178","Добыча полезных ископаемых, кроме топливно-энергетических",88.8888888888889,"Ростехнадзор","Средняя"
"179","Добыча топливно-энергетических полезных ископаемых",84.4444444444444,"Минприроды","Средняя"
"180","Текстильное и швейное производство",92.5925925925926,"ФТС","Низкая"
"181","Лесное хозяйство",75.5555555555556,"Минприроды","Средняя"
"182","Здравоохранение",46.6666666666667,"Минздрав","Средняя"
"183","Здравоохранение",46.6666666666667,"Минздрав","Средняя"
"184","Операции с недвижимым имуществом, аренда и предоставление услуг",95.5555555555556,"Минкультуры","Средняя"
"185","Сельское хозяйство",97.7777777777778,"Минсельхоз","Средняя"
"186","Рыболовство, рыбоводство",97.7777777777778,"Минсельхоз","Средняя"
"187","Государственное управление",33.9622641509434,"Минвостокразвития","Высокая"
"188","Предоставление прочих коммунальных, социальных и персональных услуг",71.1111111111111,"Минтруд","Средняя"
"189","Сельское хозяйство",57.7777777777778,"Минсельхоз","Средняя"
"190","Транспорт",57.7777777777778,"Минсельхоз","Средняя"
"191","Финансовая деятельность",57.7777777777778,"Минсельхоз","Средняя"
"192","Транспорт",88.8888888888889,"Минтранс","Средняя"
"193","Рыболовство, рыбоводство",97.7777777777778,"Минсельхоз","Средняя"
"194","Строительство",3.7037037037037,"Минвостокразвития","Низкая"
"195","Государственное управление",3.7037037037037,"Минвостокразвития","Низкая"
"196","Государственное управление",33.9622641509434,"Все остальные","Высокая"
"197","Прочие производства",84.4444444444444,"Минкультуры","Средняя"
"198","Финансовая деятельность",91.1111111111111,"ФАС","Средняя"
"199","Сельское хозяйство",100,"Минсельхоз","Низкая"
"200","Производство и распределение электроэнергии, газа и воды",82.2222222222222,"Минэнерго","Средняя"
"201","Связь",77.7777777777778,"Минцифры","Средняя"
"202","Производство и распределение электроэнергии, газа и воды",60.377358490566,"Минстрой","Высокая"
"203","Строительство",73.3333333333333,"Минтранс","Средняя"
"204","Транспорт",73.3333333333333,"Минтранс","Средняя"
"205","Финансовая деятельность",74.0740740740741,"Минфин","Низкая"
"206","Предоставление прочих коммунальных, социальных и персональных услуг",75.4716981132076,"Минстрой","Высокая"
"207","Государственное управление",88.8888888888889,"МЧС","Средняя"
"208",NA,84.4444444444444,"ФАС","Средняя"
"209","Финансовая деятельность",48.8888888888889,"Минфин","Средняя"
"210","Рыболовство, рыбоводство",95.5555555555556,"Минсельхоз","Средняя"
"211","Лесное хозяйство",33.3333333333333,"Минприроды","Средняя"
"212","Государственное управление",77.3584905660377,"ФАС","Высокая"
"213","Производство и распределение электроэнергии, газа и воды",82.2222222222222,"Минэнерго","Средняя"
"214","Государственное управление",85.1851851851852,"Все остальные","Низкая"
"215","Государственное управление",100,"ФТС","Низкая"
"216","Транспорт",91.1111111111111,"Минтранс","Средняя"
"217",NA,79.2452830188679,"Минстрой","Высокая"
"218","Сельское хозяйство",88.8888888888889,"Минсельхоз","Средняя"
"219","Прочие производства",92.5925925925926,"Минприроды","Низкая"
"220","Финансовая деятельность",48.1481481481481,"Минфин","Низкая"
"221","Производство и распределение электроэнергии, газа и воды",66.6666666666667,"Минэнерго","Средняя"
"222","Государственное управление",96.2962962962963,"ФТС","Низкая"
"223","Государственное управление",92.5925925925926,"ФТС","Низкая"
"224","Транспорт",57.7777777777778,"Минтранс","Средняя"
"225","Производство и распределение электроэнергии, газа и воды",88.8888888888889,"Минэнерго","Низкая"
"226","Государственное управление",96.2962962962963,"ФТС","Низкая"
"227","Государственное управление",88.8888888888889,"ФТС","Низкая"
"228","Финансовая деятельность",69.811320754717,"ФНС","Высокая"
"229","Государственное управление",69.811320754717,"ФНС","Высокая"
"230","Финансовая деятельность",53.3333333333333,"Минфин","Средняя"
"231","Добыча топливно-энергетических полезных ископаемых",97.7777777777778,"Минэнерго","Средняя"
"232","Финансовая деятельность",66.6666666666667,"Минфин","Средняя"
"233","Транспорт",82.2222222222222,"Минтранс","Средняя"
"234","Сельское хозяйство",83.0188679245283,"Минсельхоз","Высокая"
"235","Связь",88.8888888888889,"Минцифры","Средняя"
"236","Предоставление социальных услуг",81.4814814814815,"МЧС","Низкая"
"237","Финансовая деятельность",73.3333333333333,"ФНС","Средняя"
"238","Государственное управление",73.3333333333333,"ФНС","Средняя"
"239","Транспорт",86.6666666666667,"Минтранс","Средняя"
"240","Производство оборудования",68.8888888888889,"Ростехнадзор","Средняя"
"241","Государственное управление",79.2452830188679,"ФАС","Высокая"
"242","Финансовая деятельность",75.4716981132076,"ФНС","Высокая"
"243","Государственное управление",75.4716981132076,"ФНС","Высокая"
"244","Транспорт",77.7777777777778,"Минтранс","Низкая"
"245","Финансовая деятельность",80,"Минфин","Средняя"
"246",NA,70.3703703703704,"Ростехнадзор","Низкая"
"247","Государственное управление",47.1698113207547,"Роспотребнадзор","Высокая"
"248","Государственное управление",86.6666666666667,"Минтруд","Средняя"
"249","Государственное управление",46.6666666666667,"Минтруд","Средняя"
"250","Экология",11.1111111111111,"Минприроды","Низкая"
"251","Сельское хозяйство",80,"Минсельхоз","Средняя"
"252","Прочие производства",75.5555555555556,"Минприроды","Средняя"
"253","Экология",81.4814814814815,"Минприроды","Низкая"
"254","Государственное управление",93.3333333333333,"Роспотребнадзор","Средняя"
"255","Операции с недвижимым имуществом, аренда и предоставление услуг",88.8888888888889,"Минвостокразвития","Низкая"
"256","Государственное управление",88.8888888888889,"Минвостокразвития","Низкая"
"257","Здравоохранение",57.7777777777778,"Минздрав","Средняя"
"258","Транспорт",48.8888888888889,"Минтранс","Средняя"
"259","Транспорт",44.4444444444444,"Минтранс","Средняя"
"260","Транспорт",85.1851851851852,"Минтранс","Низкая"
"261","Государственное управление",84.4444444444444,"Минкультуры","Средняя"
"262","Государственное управление",70.3703703703704,"Минтруд","Низкая"
"263","Строительство",24.4444444444444,"МЧС","Средняя"
"264","Государственное управление",74.0740740740741,"Минприроды","Низкая"
"265","Транспорт",88.8888888888889,"Минтранс","Средняя"
"266","Транспорт",85.1851851851852,"Минтранс","Низкая"
"267","Охота",31.1111111111111,"Минприроды","Средняя"
"268","Государственное управление",85.1851851851852,"ФТС","Низкая"
"269","Финансовая деятельность",20.7547169811321,"Минфин","Высокая"
"270","Рыболовство, рыбоводство",93.3333333333333,"Минсельхоз","Средняя"
"271","Финансовая деятельность",44.4444444444444,"Минфин","Средняя"
"272","Финансовая деятельность",70.3703703703704,"ФНС","Низкая"
"273","Государственное управление",70.3703703703704,"ФНС","Низкая"
"274","Государственное управление",40,"Минэнерго","Средняя"
"275","Сельское хозяйство",0,"Минприроды","Низкая"
"276","Производство пищевых продуктов, включая напитки, и табака",0,"Минприроды","Низкая"
"277","Экология",0,"Минприроды","Низкая"
"278","Финансовая деятельность",68.8888888888889,"Минфин","Средняя"
"279","Экология",71.1111111111111,"Минприроды","Средняя"
"280","Финансовая деятельность",74.0740740740741,"Минфин","Низкая"
"281","Производство и распределение электроэнергии, газа и воды",100,"Минэнерго","Низкая"
"282","Предоставление прочих коммунальных, социальных и персональных услуг",100,"Минэнерго","Низкая"
"283","Производство и распределение электроэнергии, газа и воды",91.1111111111111,"Минэнерго","Средняя"
"284","Добыча топливно-энергетических полезных ископаемых",95.5555555555556,"Минприроды","Средняя"
"285","Добыча полезных ископаемых, кроме топливно-энергетических",95.5555555555556,"Минприроды","Средняя"
"286","Прочие производства",18.5185185185185,"Минприроды","Низкая"
"287","Экология",18.5185185185185,"Минприроды","Низкая"
"288","Производство пищевых продуктов, включая напитки, и табака",0,"Минприроды","Низкая"
"289","Экология",0,"Минприроды","Низкая"
"290","Химическое производство",14.8148148148148,"Минприроды","Низкая"
"291","Производство прочих неметаллических минеральных продуктов",14.8148148148148,"Минприроды","Низкая"
"292","Прочие производства",14.8148148148148,"Минприроды","Низкая"
"293","Экология",14.8148148148148,"Минприроды","Низкая"
"294","Сельское хозяйство",88.8888888888889,"Минсельхоз","Средняя"
"295","Транспорт",84.4444444444444,"Минтранс","Средняя"
"296","Финансовая деятельность",88.8888888888889,"ФНС","Низкая"
"297","Государственное управление",68.8888888888889,"ФТС","Средняя"
"298","Строительство",82.2222222222222,"Минстрой","Средняя"
"299","Транспорт",44.4444444444444,"Минтранс","Средняя"
"300","Сельское хозяйство",85.1851851851852,"Минсельхоз","Низкая"
"301","Государственное управление",92.5925925925926,"Минтруд","Низкая"
"302","Государственное управление",32.0754716981132,"Минпромторг","Высокая"
"303","Обеспечение военной безопасности",81.4814814814815,"Все остальные","Низкая"
"304","Строительство",84.4444444444444,"Все остальные","Средняя"
"305","Финансовая деятельность",66.6666666666667,"Минфин","Средняя"
"306","Добыча топливно-энергетических полезных ископаемых",85.1851851851852,"Минэнерго","Низкая"
"307","Государственное управление",85.1851851851852,"Минэнерго","Низкая"
"308","Государственное управление",88.8888888888889,"Минэкономразвития","Низкая"
"309","Производство оборудования",75.5555555555556,"Минтранс","Средняя"
"310","Государственное управление",84.4444444444444,"Минстрой","Средняя"
"311","Экология",84.4444444444444,"Минстрой","Средняя"
"312","Строительство",62.962962962963,"Минобороны","Низкая"
"313","Прочие производства",88.8888888888889,"Минприроды","Низкая"
"314","Государственное управление",64.4444444444444,"Минприроды","Средняя"
"315","Экология",64.4444444444444,"Минприроды","Средняя"
"316","Здравоохранение",81.1320754716981,"Минздрав","Высокая"
"317","Предоставление социальных услуг",81.1320754716981,"Минздрав","Высокая"
"318","Операции с недвижимым имуществом, аренда и предоставление услуг",93.3333333333333,"Минэкономразвития","Средняя"
"319","Транспорт",40,"ФАС","Средняя"
"320","Транспорт",84.4444444444444,"Минтранс","Средняя"
"321","Финансовая деятельность",55.5555555555556,"Минфин","Средняя"
"322","Производство и распределение электроэнергии, газа и воды",82.2222222222222,"Минэнерго","Средняя"
"323","Производство пищевых продуктов, включая напитки, и табака",0,"Минпромторг","Высокая"
"324","Оптовая и розничная торговля",0,"Минпромторг","Высокая"
"325","Оптовая и розничная торговля",86.6666666666667,"Минпромторг","Средняя"
"326","Рыболовство, рыбоводство",95.5555555555556,"Минсельхоз","Средняя"
"327","Финансовая деятельность",62.2222222222222,"Минфин","Средняя"
"328","Государственное управление",26.4150943396226,"Минэкономразвития","Высокая"
"329","Государственное управление",88.8888888888889,"Минпромторг","Средняя"
"330","Транспорт",55.5555555555556,"Минтранс","Средняя"
"331","Транспорт",53.3333333333333,"Минтранс","Средняя"
"332","Государственное управление",86.6666666666667,"Минтруд","Средняя"
"333","Предоставление прочих коммунальных, социальных и персональных услуг",86.6666666666667,"Минтруд","Средняя"
"334","Здравоохранение",67.9245283018868,"Минздрав","Высокая"
"335","Производство и распределение электроэнергии, газа и воды",68.8888888888889,"Минэнерго","Средняя"
"336","Финансовая деятельность",30.188679245283,"Минфин","Высокая"
"337","Корпоративное управление",81.1320754716981,"Минэкономразвития","Высокая"
"338","Добыча топливно-энергетических полезных ископаемых",81.1320754716981,"Минэкономразвития","Высокая"
"339","Целлюлозно-бумажное производство",81.1320754716981,"Минэкономразвития","Высокая"
"340","Производство кокса",81.1320754716981,"Минэкономразвития","Высокая"
"341","Химическое производство",81.1320754716981,"Минэкономразвития","Высокая"
"342","Металлургическое производство",81.1320754716981,"Минэкономразвития","Высокая"
"343","Прочие производства",81.1320754716981,"Минэкономразвития","Высокая"
"344","Производство и распределение электроэнергии, газа и воды",81.1320754716981,"Минэкономразвития","Высокая"
"345","Государственное управление",88.6792452830189,"Минпромторг","Высокая"
"346","Государственное управление",70.3703703703704,"ФНС","Низкая"
"347","Финансовая деятельность",42.2222222222222,"Минфин","Средняя"
"348","Государственное управление",96.2962962962963,"Минэкономразвития","Низкая"
"349","Транспорт",37.7777777777778,"Минтранс","Средняя"
"350","Рыболовство, рыбоводство",100,"Минсельхоз","Низкая"
"351","Прочие производства",81.4814814814815,"Минвостокразвития","Низкая"
"352","Государственное управление",62.962962962963,"Минцифры","Низкая"
"353","Информационные технологии",62.962962962963,"Минцифры","Низкая"
"354","Рыболовство, рыбоводство",93.3333333333333,"Минсельхоз","Средняя"
"355","Строительство",96.2962962962963,"Минкультуры","Низкая"
"356","Операции с недвижимым имуществом, аренда и предоставление услуг",66.6666666666667,"Минэкономразвития","Низкая"
"357","Сельское хозяйство",82.2222222222222,"Минсельхоз","Средняя"
"358","Строительство",77.7777777777778,"Минтранс","Средняя"
"359","Государственное управление",75.4716981132076,"Минтранс","Высокая"
"360","Государственное управление",25.9259259259259,"Минвостокразвития","Низкая"
"361","Связь",75.5555555555556,"Минцифры","Средняя"
"362","Государственное управление",93.3333333333333,"Минтруд","Средняя"
"363","Связь",91.1111111111111,"Минцифры","Средняя"
"364","Государственное управление",33.3333333333333,"ФТС","Средняя"
"365","Государственное управление",84.4444444444444,"Минтруд","Средняя"
"366","Рыболовство, рыбоводство",100,"Минсельхоз","Низкая"
"367","Транспорт",82.2222222222222,"Минтранс","Средняя"
"368","Государственное управление",79.2452830188679,"ФАС","Высокая"
"369","Производство и распределение электроэнергии, газа и воды",48.8888888888889,"Минэнерго","Средняя"
"370","Государственное управление",51.8518518518519,"Минэкономразвития","Низкая"
"371","Прочие производства",97.7777777777778,"Минпромторг","Средняя"
"372","Финансовая деятельность",55.5555555555556,"Минфин","Низкая"
"373","Производство пищевых продуктов, включая напитки, и табака",0,"Минпромторг","Высокая"
"374","Оптовая и розничная торговля",0,"Минпромторг","Высокая"
"375","Транспорт",71.1111111111111,"Минтранс","Средняя"
"376","Социальное страхование",44.4444444444444,"Минтруд","Низкая"
"377","Экология",92.5925925925926,"Минприроды","Низкая"
"378","Государственное управление",75.5555555555556,"Минспорт","Средняя"
"379","Транспорт",86.6666666666667,"Минтранс","Средняя"
"380","Обеспечение военной безопасности",100,"Все остальные","Высокая"
"381","Здравоохранение",75.4716981132076,"Минпромторг","Высокая"
"382","Производство оборудования",75.4716981132076,"Минпромторг","Высокая"
"383","Государственное управление",62.962962962963,"Минкультуры","Низкая"
"384","Производство и распределение электроэнергии, газа и воды",86.7924528301887,"Минэкономразвития","Высокая"
"385","Предоставление прочих коммунальных, социальных и персональных услуг",86.7924528301887,"Минэкономразвития","Высокая"
"386","Финансовая деятельность",37.7777777777778,"Минфин","Средняя"
"387","Финансовая деятельность",66.0377358490566,"Минфин","Высокая"
"388","Сельское хозяйство",66.6666666666667,"Минсельхоз","Средняя"
"389","Рыболовство, рыбоводство",93.3333333333333,"Минсельхоз","Средняя"
"390","Финансовая деятельность",39.622641509434,"Минфин","Высокая"
"391","Здравоохранение",60,"Роспотребнадзор","Средняя"
"392","Транспорт",51.1111111111111,"Минтранс","Средняя"
"393","Производство транспортных средств",95.5555555555556,"Минпромторг","Средняя"
"394","Производство электронного оборудования",95.5555555555556,"Минпромторг","Средняя"
"395","Строительство",84.4444444444444,"Минстрой","Средняя"
"396","Государственное управление",84.4444444444444,"Минстрой","Средняя"
"397","Финансовая деятельность",28.3018867924528,"Минфин","Высокая"
"398",NA,83.0188679245283,"ФНС","Высокая"
"399","Сельское хозяйство",86.6666666666667,"Минприроды","Средняя"
"400","Охота",86.6666666666667,"Минприроды","Средняя"
"401","Лесное хозяйство",86.6666666666667,"Минприроды","Средняя"
"402","Экология",82.2222222222222,"Минприроды","Средняя"
"403","Финансовая деятельность",77.7777777777778,"Минфин","Средняя"
"404","Строительство",80,"Минстрой","Средняя"
"405","Рыболовство, рыбоводство",97.7777777777778,"Минсельхоз","Средняя"
"406","Связь",96.2962962962963,"Минцифры","Низкая"
"407",NA,84.4444444444444,"Минприроды","Средняя"
"408","Финансовая деятельность",74.0740740740741,"Минфин","Низкая"
"409",NA,88.8888888888889,"МЧС","Низкая"
"410","Государственное управление",70.3703703703704,"ФТС","Низкая"
"411","Транспорт",86.6666666666667,"Минтранс","Средняя"
"412","Государственное управление",68.8888888888889,"ФНС","Средняя"
